"; File X","File Y","Map X","Map Y","Lat","Lon","B1"
"91",1677,-5517591.1411,5894727.6924,53.0125,-82.47584855,49.7845877394522
"92",1677,-5517127.8284,5894727.6924,53.0125,-82.46892304,57.417022280412
"90",1677,-5518054.4538,5894727.6924,53.0125,-82.48277405,49.7845877394522
"89",1678,-5518517.7665,5894264.3797,53.00833333,-82.48173623,59.1630541639448
"90",1678,-5518054.4538,5894264.3797,53.00833333,-82.47481139,59.1630541639448
"91",1678,-5517591.1411,5894264.3797,53.00833333,-82.46788655,57.417022280412
"92",1678,-5517127.8284,5894264.3797,53.00833333,-82.46096172,57.1250796140877
"93",1678,-5516664.5157,5894264.3797,53.00833333,-82.45403688,57.1250796140877
"94",1678,-5516201.2029,5894264.3797,53.00833333,-82.44711204,49.3244329238799
"95",1678,-5515737.8902,5894264.3797,53.00833333,-82.44018721,61.573242831287
"96",1678,-5515274.5775,5894264.3797,53.00833333,-82.43326237,59.2433256151057
"87",1679,-5519444.392,5893801.0669,53.00416666,-82.48762321,53.933139043401
"88",1679,-5518981.0792,5893801.0669,53.00416666,-82.48069904,53.933139043401
"89",1679,-5518517.7665,5893801.0669,53.00416666,-82.47377487,54.9628632640262
"90",1679,-5518054.4538,5893801.0669,53.00416666,-82.4668507,54.9628632640262
"91",1679,-5517591.1411,5893801.0669,53.00416666,-82.45992653,43.7954171732141
"92",1679,-5517127.8284,5893801.0669,53.00416666,-82.45300236,43.7954171732141
"93",1679,-5516664.5157,5893801.0669,53.00416666,-82.4460782,49.3244329238799
"94",1679,-5516201.2029,5893801.0669,53.00416666,-82.43915403,49.3244329238799
"95",1679,-5515737.8902,5893801.0669,53.00416666,-82.43222986,50.8654402729188
"96",1679,-5515274.5775,5893801.0669,53.00416666,-82.42530569,45.9719494508712
"97",1679,-5514811.2648,5893801.0669,53.00416666,-82.41838152,55.7957434802121
"98",1679,-5514347.9521,5893801.0669,53.00416666,-82.41145735,46.6949037944482
"99",1679,-5513884.6394,5893801.0669,53.00416666,-82.40453318,46.6949037944482
"100",1679,-5513421.3266,5893801.0669,53.00416666,-82.39760901,31.8017375468854
"86",1680,-5519907.7047,5893337.7542,53,-82.48658599,56.9353935734463
"87",1680,-5519444.392,5893337.7542,53,-82.47966249,53.933139043401
"88",1680,-5518981.0792,5893337.7542,53,-82.47273899,45.5261105628945
"89",1680,-5518517.7665,5893337.7542,53,-82.46581549,37.9008339857325
"90",1680,-5518054.4538,5893337.7542,53,-82.45889199,37.9008339857325
"91",1680,-5517591.1411,5893337.7542,53,-82.45196849,41.3192729823065
"92",1680,-5517127.8284,5893337.7542,53,-82.44504498,41.3192729823065
"93",1680,-5516664.5157,5893337.7542,53,-82.43812148,49.0028358361077
"94",1680,-5516201.2029,5893337.7542,53,-82.43119798,49.0028358361077
"95",1680,-5515737.8902,5893337.7542,53,-82.42427448,45.9719494508712
"96",1680,-5515274.5775,5893337.7542,53,-82.41735098,45.9719494508712
"97",1680,-5514811.2648,5893337.7542,53,-82.41042748,38.499546529105
"98",1680,-5514347.9521,5893337.7542,53,-82.40350398,35.7171437442776
"99",1680,-5513884.6394,5893337.7542,53,-82.39658048,31.8017375468854
"100",1680,-5513421.3266,5893337.7542,53,-82.38965698,33.8545393074665
"101",1680,-5512958.0139,5893337.7542,53,-82.38273348,33.8545393074665
"102",1680,-5512494.7012,5893337.7542,53,-82.37580998,47.9439684771629
"103",1680,-5512031.3885,5893337.7542,53,-82.36888648,45.73062381426
"104",1680,-5511568.0758,5893337.7542,53,-82.36196298,40.8079898538928
"85",1681,-5520371.0174,5892874.4415,52.99583333,-82.4855494,56.9353935734463
"86",1681,-5519907.7047,5892874.4415,52.99583333,-82.47862657,45.964280203945
"87",1681,-5519444.392,5892874.4415,52.99583333,-82.47170374,45.964280203945
"88",1681,-5518981.0792,5892874.4415,52.99583333,-82.46478091,37.9008339857325
"89",1681,-5518517.7665,5892874.4415,52.99583333,-82.45785807,37.9008339857325
"90",1681,-5518054.4538,5892874.4415,52.99583333,-82.45093524,38.4560874631898
"91",1681,-5517591.1411,5892874.4415,52.99583333,-82.44401241,38.4560874631898
"92",1681,-5517127.8284,5892874.4415,52.99583333,-82.43708958,49.0028358361077
"93",1681,-5516664.5157,5892874.4415,52.99583333,-82.43016674,44.1456461161775
"94",1681,-5516201.2029,5892874.4415,52.99583333,-82.42324391,44.1456461161775
"95",1681,-5515737.8902,5892874.4415,52.99583333,-82.41632108,40.0630503357941
"96",1681,-5515274.5775,5892874.4415,52.99583333,-82.40939825,38.499546529105
"97",1681,-5514811.2648,5892874.4415,52.99583333,-82.40247541,35.7171437442776
"98",1681,-5514347.9521,5892874.4415,52.99583333,-82.39555258,35.7171437442776
"99",1681,-5513884.6394,5892874.4415,52.99583333,-82.38862975,34.1173388354711
"100",1681,-5513421.3266,5892874.4415,52.99583333,-82.38170692,33.8545393074665
"101",1681,-5512958.0139,5892874.4415,52.99583333,-82.37478408,47.9439684771629
"102",1681,-5512494.7012,5892874.4415,52.99583333,-82.36786125,47.9439684771629
"103",1681,-5512031.3885,5892874.4415,52.99583333,-82.36093842,42.6117967309364
"104",1681,-5511568.0758,5892874.4415,52.99583333,-82.35401559,40.8079898538928
"105",1681,-5511104.7631,5892874.4415,52.99583333,-82.34709275,41.1290756585366
"106",1681,-5510641.4503,5892874.4415,52.99583333,-82.34016992,45.6360364355034
"107",1681,-5510178.1376,5892874.4415,52.99583333,-82.33324709,45.6360364355034
"84",1682,-5520834.3301,5892411.1288,52.99166666,-82.48451346,47.8928401643215
"85",1682,-5520371.0174,5892411.1288,52.99166666,-82.47759129,45.7817521271013
"86",1682,-5519907.7047,5892411.1288,52.99166666,-82.47066913,45.964280203945
"87",1682,-5519444.392,5892411.1288,52.99166666,-82.46374696,37.9591202623717
"88",1682,-5518981.0792,5892411.1288,52.99166666,-82.4568248,37.2509931295187
"89",1682,-5518517.7665,5892411.1288,52.99166666,-82.44990263,37.2509931295187
"90",1682,-5518054.4538,5892411.1288,52.99166666,-82.44298047,47.359571861386
"91",1682,-5517591.1411,5892411.1288,52.99166666,-82.4360583,47.359571861386
"92",1682,-5517127.8284,5892411.1288,52.99166666,-82.42913614,41.589230474109
"93",1682,-5516664.5157,5892411.1288,52.99166666,-82.42221398,41.589230474109
"94",1682,-5516201.2029,5892411.1288,52.99166666,-82.41529181,40.0630503357941
"95",1682,-5515737.8902,5892411.1288,52.99166666,-82.40836965,40.0630503357941
"96",1682,-5515274.5775,5892411.1288,52.99166666,-82.40144748,37.3092794061578
"97",1682,-5514811.2648,5892411.1288,52.99166666,-82.39452532,39.7266260372978
"98",1682,-5514347.9521,5892411.1288,52.99166666,-82.38760315,34.1173388354711
"99",1682,-5513884.6394,5892411.1288,52.99166666,-82.38068099,52.4652451817253
"100",1682,-5513421.3266,5892411.1288,52.99166666,-82.37375882,52.4652451817253
"101",1682,-5512958.0139,5892411.1288,52.99166666,-82.36683666,44.1824585014233
"102",1682,-5512494.7012,5892411.1288,52.99166666,-82.35991449,42.6117967309364
"103",1682,-5512031.3885,5892411.1288,52.99166666,-82.35299233,42.9185666079846
"104",1682,-5511568.0758,5892411.1288,52.99166666,-82.34607016,42.9185666079846
"105",1682,-5511104.7631,5892411.1288,52.99166666,-82.339148,50.1133427910222
"106",1682,-5510641.4503,5892411.1288,52.99166666,-82.33222584,45.6360364355034
"107",1682,-5510178.1376,5892411.1288,52.99166666,-82.32530367,42.5315252797754
"83",1683,-5521297.6428,5891947.8161,52.9875,-82.48347814,47.8928401643215
"84",1683,-5520834.3301,5891947.8161,52.9875,-82.47655665,41.0344882797801
"85",1683,-5520371.0174,5891947.8161,52.9875,-82.46963515,40.457249627801
"86",1683,-5519907.7047,5891947.8161,52.9875,-82.46271365,40.457249627801
"87",1683,-5519444.392,5891947.8161,52.9875,-82.45579216,40.2455784126377
"88",1683,-5518981.0792,5891947.8161,52.9875,-82.44887066,37.2509931295187
"89",1683,-5518517.7665,5891947.8161,52.9875,-82.44194916,45.022496681407
"90",1683,-5518054.4538,5891947.8161,52.9875,-82.43502767,44.0214043159729
"91",1683,-5517591.1411,5891947.8161,52.9875,-82.42810617,44.0214043159729
"92",1683,-5517127.8284,5891947.8161,52.9875,-82.42118467,42.5095401052536
"93",1683,-5516664.5157,5891947.8161,52.9875,-82.41426318,42.5095401052536
"94",1683,-5516201.2029,5891947.8161,52.9875,-82.40734168,39.2664712217255
"95",1683,-5515737.8902,5891947.8161,52.9875,-82.40042018,37.3092794061578
"96",1683,-5515274.5775,5891947.8161,52.9875,-82.39349869,39.7266260372978
"97",1683,-5514811.2648,5891947.8161,52.9875,-82.38657719,39.7266260372978
"98",1683,-5514347.9521,5891947.8161,52.9875,-82.37965569,47.6663417384342
"99",1683,-5513884.6394,5891947.8161,52.9875,-82.37273419,52.4652451817253
"100",1683,-5513421.3266,5891947.8161,52.9875,-82.3658127,44.1824585014233
"101",1683,-5512958.0139,5891947.8161,52.9875,-82.3588912,48.5575082312593
"102",1683,-5512494.7012,5891947.8161,52.9875,-82.3519697,48.5575082312593
"103",1683,-5512031.3885,5891947.8161,52.9875,-82.34504821,51.5883946164958
"104",1683,-5511568.0758,5891947.8161,52.9875,-82.33812671,50.1133427910222
"105",1683,-5511104.7631,5891947.8161,52.9875,-82.33120521,44.9636991216394
"106",1683,-5510641.4503,5891947.8161,52.9875,-82.32428372,44.9636991216394
"81",1684,-5522224.2683,5891484.5034,52.98333333,-82.4893643,49.1199196725144
"82",1684,-5521760.9555,5891484.5034,52.98333333,-82.48244347,46.9142442565377
"83",1684,-5521297.6428,5891484.5034,52.98333333,-82.47552264,43.5760767111246
"84",1684,-5520834.3301,5891484.5034,52.98333333,-82.46860181,44.4304308187039
"85",1684,-5520371.0174,5891484.5034,52.98333333,-82.46168098,36.9953515653118
"86",1684,-5519907.7047,5891484.5034,52.98333333,-82.45476015,40.2455784126377
"87",1684,-5519444.392,5891484.5034,52.98333333,-82.44783932,42.9773641677522
"88",1684,-5518981.0792,5891484.5034,52.98333333,-82.44091849,48.725209097379
"89",1684,-5518517.7665,5891484.5034,52.98333333,-82.43399766,44.0214043159729
"90",1684,-5518054.4538,5891484.5034,52.98333333,-82.42707683,44.0214043159729
"91",1684,-5517591.1411,5891484.5034,52.98333333,-82.42015601,45.8185645123471
"92",1684,-5517127.8284,5891484.5034,52.98333333,-82.41323518,45.8185645123471
"93",1684,-5516664.5157,5891484.5034,52.98333333,-82.40631435,39.2664712217255
"94",1684,-5516201.2029,5891484.5034,52.98333333,-82.39939352,41.9910990130421
"95",1684,-5515737.8902,5891484.5034,52.98333333,-82.39247269,41.9910990130421
"96",1684,-5515274.5775,5891484.5034,52.98333333,-82.38555186,40.457249627801
"97",1684,-5514811.2648,5891484.5034,52.98333333,-82.37863103,47.6663417384342
"98",1684,-5514347.9521,5891484.5034,52.98333333,-82.3717102,47.5932282510711
"99",1684,-5513884.6394,5891484.5034,52.98333333,-82.36478937,47.5932282510711
"100",1684,-5513421.3266,5891484.5034,52.98333333,-82.35786854,50.5954827811163
"101",1684,-5512958.0139,5891484.5034,52.98333333,-82.35094771,48.5575082312593
"102",1684,-5512494.7012,5891484.5034,52.98333333,-82.34402688,51.5883946164958
"103",1684,-5512031.3885,5891484.5034,52.98333333,-82.33710605,51.5883946164958
"104",1684,-5511568.0758,5891484.5034,52.98333333,-82.33018522,47.7757563279148
"105",1684,-5511104.7631,5891484.5034,52.98333333,-82.3232644,44.9636991216394
"106",1684,-5510641.4503,5891484.5034,52.98333333,-82.31634357,35.0959347432549
"80",1685,-5522687.581,5891021.1906,52.97916666,-82.48832959,55.0436459983156
"81",1685,-5522224.2683,5891021.1906,52.97916666,-82.48140943,56.8985811882005
"82",1685,-5521760.9555,5891021.1906,52.97916666,-82.47448927,58.6589289993289
"83",1685,-5521297.6428,5891021.1906,52.97916666,-82.4675691,45.0879409218439
"84",1685,-5520834.3301,5891021.1906,52.97916666,-82.46064894,49.6240448371303
"85",1685,-5520371.0174,5891021.1906,52.97916666,-82.45372878,51.9539620533116
"86",1685,-5519907.7047,5891021.1906,52.97916666,-82.44680862,52.8011581970931
"87",1685,-5519444.392,5891021.1906,52.97916666,-82.43988846,49.8940023289327
"88",1685,-5518981.0792,5891021.1906,52.97916666,-82.4329683,51.6180490379437
"89",1685,-5518517.7665,5891021.1906,52.97916666,-82.42604813,49.1853639129513
"90",1685,-5518054.4538,5891021.1906,52.97916666,-82.41912797,50.1787870314592
"91",1685,-5517591.1411,5891021.1906,52.97916666,-82.41220781,43.0719515465087
"92",1685,-5517127.8284,5891021.1906,52.97916666,-82.40528765,43.0719515465087
"93",1685,-5516664.5157,5891021.1906,52.97916666,-82.39836749,39.6683397606587
"94",1685,-5516201.2029,5891021.1906,52.97916666,-82.39144732,39.6683397606587
"95",1685,-5515737.8902,5891021.1906,52.97916666,-82.38452716,40.457249627801
"96",1685,-5515274.5775,5891021.1906,52.97916666,-82.377607,40.457249627801
"97",1685,-5514811.2648,5891021.1906,52.97916666,-82.37068684,40.9685327562147
